#s:1|Renfe|1|-1|-1|-1|-1|-1|-1|-1|1|0|0| Renfe's space.
 For you safety do not cross the tracks.
 Please, use the crossing points.
|       | ____  |/____\>
#s:44|Lab 16|92|-1|-1|-1|-1|-1|-1|-1|1|0|0| Lab 16
|       |       |       
#s:45|Corredor4B|95|94|97|100|-1|99|-1|-1|1|0|0| There are many classes, try to enter one by one
|     _ |       |   v_/ 
#s:46|Lab 8|-1|-1|96|-1|-1|-1|-1|-1|1|0|0| Lab 8
|       |       |       
#s:47|Lab 9|98|-1|-1|-1|-1|-1|-1|-1|1|0|0| Lab 9
|       |       |       
#s:48|Corredor4C|102|101|104|106|-1|-1|-1|-1|1|0|0| Corredor4C
|       |       |       
#s:49|Lab 7B|-1|-1|103|-1|-1|-1|-1|-1|1|0|0| Lab 7B
|       |       |       
#s:50|Lab 7A|105|-1|-1|-1|-1|-1|4|4|1|0|0| Lab 7A
|       |       |       
#s:51|Toilete4|-1|107|-1|-1|-1|-1|7|8|1|0|0| Toilete
|       |       |       
#s:52|library|-1|-1|-1|-1|-1|69|-1|-1|1|0|0| library
|     _ |       |   v_/ 
